Index,activityID
0,1
1,1
2,1
3,1
4,1
5,6
6,1
7,1
8,1
9,1
10,6
11,1
12,1
13,1
14,6
15,1
16,1
17,1
18,6
19,1
20,3
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,2
29,1
30,1
31,1
32,1
33,3
34,3
35,1
36,1
37,1
38,1
39,1
40,1
41,3
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,4
50,1
51,1
52,1
53,4
54,1
55,1
56,1
57,1
58,4
59,1
60,1
61,1
62,1
63,2
64,1
65,5
66,1
67,4
68,2
69,1
70,2
71,1
72,1
73,1
74,1
75,1
76,1
77,4
78,1
79,1
80,1
81,1
82,1
83,6
84,1
85,3
86,1
87,1
88,1
89,5
90,1
91,6
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,4
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,6
112,1
113,1
114,4
115,4
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,6
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,5
138,1
139,1
140,1
141,4
142,1
143,5
144,1
145,1
146,5
147,1
148,1
149,6
150,1
151,1
152,4
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,6
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,4
189,1
190,4
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,2
202,1
203,3
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,6
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,3
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,4
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,4
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,3
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,5
272,6
273,1
274,1
275,1
276,1
277,1
278,1
279,4
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,6
290,1
291,1
292,4
293,1
294,1
295,1
296,1
297,1
298,4
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,4
307,1
308,1
309,1
310,1
311,4
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,4
322,1
323,3
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,3
333,1
334,1
335,4
336,5
337,1
338,6
339,1
340,1
341,5
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,6
350,6
351,6
352,1
353,1
354,5
355,1
356,1
357,3
358,3
359,1
360,5
361,1
362,5
363,1
364,3
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,4
375,3
376,1
377,4
378,1
379,1
380,5
381,1
382,1
383,1
384,1
385,1
386,1
387,6
388,1
389,5
390,5
391,1
392,1
393,1
394,1
395,5
396,4
397,1
398,1
399,3
400,1
401,1
402,4
403,1
404,1
405,1
406,1
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,1
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,3
429,1
430,1
431,1
432,1
433,4
434,1
435,1
436,5
437,1
438,1
439,1
440,4
441,1
442,1
443,1
444,1
445,1
446,1
447,3
448,1
449,5
450,4
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,6
468,1
469,1
470,1
471,1
472,5
473,1
474,1
475,1
476,1
477,1
478,1
479,1
480,1
481,1
482,1
483,4
484,1
485,3
486,1
487,1
488,1
489,2
490,1
491,1
492,1
493,1
494,1
495,1
496,6
497,1
498,1
499,3
500,1
501,1
502,1
503,6
504,1
505,1
506,1
507,1
508,1
509,1
510,6
511,4
512,1
513,1
514,1
515,6
516,3
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,5
530,1
531,1
532,1
533,5
534,1
535,1
536,1
537,1
538,1
539,1
540,1
541,1
542,4
543,1
544,1
545,1
546,5
547,1
548,5
549,1
550,1
551,1
552,1
553,1
554,1
555,1
556,1
557,1
558,1
559,1
560,1
561,1
562,1
563,1
564,1
565,1
566,1
567,4
568,1
569,1
570,1
571,3
572,1
573,1
574,1
575,4
576,4
577,1
578,1
579,3
580,1
581,1
582,6
583,1
584,1
585,1
586,1
587,1
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,6
596,1
597,1
598,1
599,1
600,1
601,1
602,1
603,1
604,3
605,1
606,1
607,1
608,4
609,1
610,1
611,1
612,1
613,1
614,1
615,5
616,1
617,1
618,1
619,1
620,1
621,1
622,1
623,4
624,4
625,5
626,1
627,1
628,1
629,1
630,3
631,6
632,1
633,1
634,1
635,1
636,4
637,5
638,1
639,1
640,1
641,1
642,1
643,1
644,4
645,1
646,1
647,1
648,1
649,1
650,1
651,1
652,1
653,3
654,1
655,1
656,5
657,1
658,1
659,1
660,1
661,1
662,1
663,1
664,1
665,1
666,1
667,1
668,1
669,1
670,1
671,4
672,1
673,1
674,1
675,1
676,1
677,1
678,1
679,1
680,4
681,1
682,1
683,1
684,5
685,1
686,1
687,1
688,1
689,1
690,1
691,1
692,1
693,6
694,1
695,1
696,1
697,4
698,1
699,1
700,1
701,1
702,1
703,1
704,1
705,1
706,1
707,4
708,1
709,1
710,1
711,4
712,1
713,1
714,1
715,1
716,4
717,1
718,1
719,1
720,1
721,1
722,1
723,1
724,3
725,1
726,1
727,1
728,5
729,1
730,1
731,1
732,1
733,5
734,1
735,1
736,1
737,1
738,1
739,1
740,1
741,1
742,1
743,1
744,1
745,1
746,3
747,1
748,1
749,1
750,1
751,3
752,1
753,1
754,6
755,4
756,1
757,5
758,1
759,4
760,1
761,6
762,5
763,1
764,1
765,1
766,1
767,1
768,1
769,1
770,6
771,1
772,1
773,1
774,1
775,1
776,1
777,1
778,1
779,1
780,1
781,1
782,1
783,1
784,3
785,4
786,1
787,1
788,1
789,1
790,1
791,1
792,6
793,1
794,1
795,1
796,1
797,1
798,1
799,4
800,1
801,1
802,1
803,1
804,1
805,1
806,1
807,6
808,4
809,1
810,1
811,1
